         565223 function calls (542918 primitive calls) in 20.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.803    1.803 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\cpuinfo\cpuinfo.py:2719(get_cpu_info_json)
        1    0.000    0.000    1.788    1.788 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1090(communicate)
     1114    1.788    0.002    1.788    0.002 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.787    1.787 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1483(_communicate)
        2    0.000    0.000    1.786    0.893 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\threading.py:1028(join)
        2    0.000    0.000    1.786    0.893 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\threading.py:1066(_wait_for_tstate_lock)
      123    0.003    0.000    1.685    0.014 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:37(_send_and_receive)
      123    1.666    0.014    1.666    0.014 {method 'recv' of '_socket.socket' objects}
     1600    0.007    0.000    1.574    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:459(forward)
     1600    0.005    0.000    1.564    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
     1600    1.559    0.001    1.559    0.001 {built-in method torch.conv2d}
      200    0.007    0.000    1.481    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:200(forward)
       25    0.001    0.000    1.280    0.051 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:76(set_speeds)
       73    0.001    0.000    1.279    0.018 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:58(set_speed)
     1425    0.004    0.000    0.868    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\activation.py:392(forward)
     1425    0.004    0.000    0.864    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\functional.py:2051(silu)
     1425    0.859    0.001    0.859    0.001 {built-in method torch._C._nn.silu_}
      597    0.002    0.000    0.687    0.001 {method 'extend' of 'list' objects}
      450    0.001    0.000    0.685    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:203(<genexpr>)
      250    0.018    0.000    0.682    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:309(forward)
       25    0.003    0.000    0.601    0.024 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\head.py:42(forward)
        1    0.000    0.000    0.559    0.559 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\utils\_contextlib.py:112(decorate_context)
        1    0.000    0.000    0.559    0.559 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\autobackend.py:71(__init__)
   331/13    0.003    0.000    0.514    0.040 <frozen importlib._bootstrap>:1002(_find_and_load)
   328/10    0.001    0.000    0.513    0.051 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      150    0.002    0.000    0.506    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\container.py:213(forward)
   313/10    0.001    0.000    0.503    0.050 <frozen importlib._bootstrap>:659(_load_unlocked)
   270/10    0.001    0.000    0.501    0.050 <frozen importlib._bootstrap_external>:844(exec_module)
   417/10    0.000    0.000    0.499    0.050 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   286/10    0.002    0.000    0.484    0.048 {built-in method builtins.exec}
        1    0.000    0.000    0.473    0.473 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\autobackend.py:489(_model_type)
        1    0.000    0.000    0.471    0.471 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\exporter.py:79(export_formats)
        1    0.000    0.000    0.469    0.469 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\__init__.py:1(<module>)
      725    0.005    0.000    0.390    0.001 {method 'join' of 'bytes' objects}
      100    0.001    0.000    0.387    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:887(content)
      550    0.001    0.000    0.385    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:812(generate)
      550    0.003    0.000    0.384    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:912(stream)
      500    0.006    0.000    0.379    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:841(read)
      550    0.008    0.000    0.355    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:799(_raw_read)
        1    0.000    0.000    0.341    0.341 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\api.py:1(<module>)
      550    0.003    0.000    0.332    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:755(_fp_read)
      550    0.006    0.000    0.329    0.001 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:452(read)
      500    0.004    0.000    0.321    0.001 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:484(readinto)
      500    0.004    0.000    0.310    0.001 {method 'readinto' of '_io.BufferedReader' objects}
       51    0.299    0.006    0.299    0.006 {method 'connect' of '_socket.socket' objects}
       25    0.000    0.000    0.291    0.012 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:82(get_x)
       25    0.000    0.000    0.281    0.011 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:329(show)
       50    0.002    0.000    0.252    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:319(request)
       50    0.000    0.000    0.238    0.005 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:1269(endheaders)
       50    0.000    0.000    0.238    0.005 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:1031(_send_output)
       50    0.001    0.000    0.238    0.005 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:972(send)
       50    0.000    0.000    0.231    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:242(connect)
       50    0.001    0.000    0.231    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:197(_new_conn)
       27    0.231    0.009    0.231    0.009 {waitKey}
       50    0.001    0.000    0.230    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\util\connection.py:27(create_connection)
    65/46    0.000    0.000    0.208    0.005 {built-in method builtins.__import__}
        1    0.000    0.000    0.194    0.194 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\groupby\__init__.py:1(<module>)
        1    0.000    0.000    0.192    0.192 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\groupby\generic.py:1(<module>)
       25    0.001    0.000    0.190    0.008 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:144(forward)
      270    0.003    0.000    0.189    0.001 <frozen importlib._bootstrap_external>:916(get_code)
       26    0.000    0.000    0.177    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\patches.py:47(imshow)
        1    0.000    0.000    0.174    0.174 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\frame.py:1(<module>)
       26    0.174    0.007    0.174    0.007 {imshow}
       25    0.001    0.000    0.173    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:210(setup_source)
       25    0.000    0.000    0.171    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\data\build.py:144(load_inference_source)
       25    0.000    0.000    0.171    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\data\loaders.py:384(__init__)
       25    0.000    0.000    0.170    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\data\loaders.py:389(<listcomp>)
       25    0.000    0.000    0.170    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\data\loaders.py:395(_single_check)
        1    0.000    0.000    0.169    0.169 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:79(__init__)
        1    0.000    0.000    0.166    0.166 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\checks.py:487(check_imshow)
  506/349    0.001    0.000    0.151    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.143    0.143 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\generic.py:2(<module>)
  125/100    0.000    0.000    0.129    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\_jit_internal.py:478(fn)
       75    0.000    0.000    0.129    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\pooling.py:165(forward)
       75    0.000    0.000    0.128    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\functional.py:769(_max_pool2d)
       75    0.128    0.002    0.128    0.002 {built-in method torch.max_pool2d}
      270    0.001    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      502    0.123    0.000    0.123    0.000 {built-in method torch.cat}
        1    0.000    0.000    0.118    0.118 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:17(__enter__)
  460/454    0.062    0.000    0.117    0.000 {built-in method builtins.__build_class__}
       25    0.000    0.000    0.117    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:97(get_y)
      148    0.001    0.000    0.112    0.001 {built-in method numpy.asarray}
       25    0.000    0.000    0.111    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\Image.py:668(__array_interface__)
       25    0.001    0.000    0.110    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\Image.py:708(tobytes)
      270    0.109    0.000    0.109    0.000 {built-in method io.open_code}
       50    0.001    0.000    0.102    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:751(merge_environment_settings)
      324    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       50    0.000    0.000    0.099    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:824(get_environ_proxies)
      323    0.000    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      323    0.001    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       25    0.001    0.000    0.096    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\ImageFile.py:155(load)
     1269    0.093    0.000    0.094    0.000 {built-in method nt.stat}
       50    0.091    0.002    0.091    0.002 {method 'decode' of 'ImagingDecoder' objects}
      402    0.004    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      100    0.012    0.000    0.082    0.001 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2486(getproxies_environment)
     1164    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.078    0.078 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\window\__init__.py:1(<module>)
        1    0.001    0.001    0.076    0.076 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:116(fuse)
       50    0.075    0.002    0.075    0.002 {built-in method numpy.ascontiguousarray}
        1    0.000    0.000    0.073    0.073 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\window\ewm.py:1(<module>)
    14250    0.017    0.000    0.072    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:849(__iter__)
       57    0.007    0.000    0.070    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\torch_utils.py:158(fuse_conv_and_bn)
        1    0.000    0.000    0.070    0.070 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\__init__.py:1(<module>)
       50    0.002    0.000    0.066    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:459(prepare_request)
        1    0.000    0.000    0.064    0.064 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\WebcamYOLOProcessor.py:13(__init__)
        1    0.000    0.000    0.064    0.064 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\model.py:55(__init__)
        1    0.000    0.000    0.062    0.062 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\model.py:136(_load)
        1    0.000    0.000    0.062    0.062 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:626(attempt_load_one_weight)
       25    0.000    0.000    0.056    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:30(forward)
       25    0.009    0.000    0.054    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:113(preprocess)
       50    0.001    0.000    0.054    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:764(should_bypass_proxies)
      113    0.053    0.000    0.053    0.000 {built-in method builtins.print}
    42/20    0.000    0.000    0.049    0.002 <frozen importlib._bootstrap_external>:1179(exec_module)
    42/20    0.010    0.000    0.049    0.002 {built-in method _imp.exec_dynamic}
       50    0.001    0.000    0.049    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:112(proxy_bypass)
    13560    0.019    0.000    0.047    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\os.py:674(__getitem__)
