         565223 function calls (542918 primitive calls) in 20.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      421    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
  265/259    0.001    0.000    0.007    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\typing.py:271(inner)
     1306    0.002    0.000    0.007    0.000 {built-in method builtins.next}
       50    0.000    0.000    0.007    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:414(_close_conn)
        1    0.000    0.000    0.007    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\ops\array_ops.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\indexes\datetimes.py:1(<module>)
       18    0.000    0.000    0.007    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:783(compile)
        1    0.000    0.000    0.007    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\methods\describe.py:1(<module>)
       75    0.003    0.000    0.007    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\logging\__init__.py:282(__init__)
       53    0.000    0.000    0.007    0.000 {method 'close' of '_io.BufferedReader' objects}
       25    0.004    0.000    0.007    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\results.py:263(verbose)
      361    0.001    0.000    0.007    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\_utils.py:178(_rebuild_tensor)
      250    0.001    0.000    0.007    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\util\url.py:303(_normalize_host)
      150    0.001    0.000    0.007    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\cookies.py:521(cookiejar_from_dict)
       41    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\datetimes.py:1(<module>)
      300    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:305(putheader)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\cpuinfo\__init__.py:2(<module>)
       50    0.000    0.000    0.006    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:767(close)
       25    0.003    0.000    0.006    0.000 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\WebcamYOLOProcessor.py:104(extract_detections)
      488    0.000    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:992(<lambda>)
       50    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:76(proxy_bypass_registry)
       50    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\_collections.py:242(__init__)
      100    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:836(select_proxy)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\_testing\__init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\io\excel\_base.py:1(<module>)
      500    0.002    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:412(_init_decoder)
      150    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\cookies.py:35(__init__)
    17513    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\JpegImagePlugin.py:34(<module>)
      101    0.000    0.000    0.006    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:497(close)
       50    0.000    0.000    0.006    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:487(_decref_socketios)
      100    0.001    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\adapters.py:135(__init__)
       25    0.005    0.000    0.006    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\numpy\core\shape_base.py:372(stack)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\reshape\api.py:1(<module>)
       51    0.000    0.000    0.006    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:493(_real_close)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\compat\numpy\__init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\numpy_.py:1(<module>)
       50    0.001    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:484(prepare_headers)
       51    0.005    0.000    0.005    0.000 {function socket.close at 0x000001E6653C5280}
      101    0.005    0.000    0.005    0.000 {built-in method winreg.OpenKey}
2777/2727    0.002    0.000    0.005    0.000 {method 'encode' of 'str' objects}
     1677    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
       25    0.000    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:139(pre_transform)
    26030    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      200    0.001    0.000    0.005    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\message.py:564(get_content_type)
       23    0.000    0.000    0.005    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
       50    0.001    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\_collections.py:337(extend)
       28    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\adapters.py:370(request_url)
      225    0.005    0.000    0.005    0.000 {method 'chunk' of 'torch._C._TensorBase' objects}
       25    0.005    0.000    0.005    0.000 {method 'sigmoid' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\masked.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\_typing.py:1(<module>)
       25    0.000    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:151(<listcomp>)
       25    0.004    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\ops.py:83(scale_boxes)
       25    0.001    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\data\augment.py:657(__call__)
       50    0.002    0.000    0.005    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.005    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\api\interchange\__init__.py:1(<module>)
      350    0.002    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:340(to_key_val_list)
      626    0.002    0.000    0.005    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\contextlib.py:261(helper)
       50    0.001    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:589(prepare_auth)
       50    0.000    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:611(prepare_cookies)
     1100    0.002    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:699(_error_catcher)
       50    0.001    0.000    0.005    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\models.py:659(__init__)
   101/26    0.001    0.000    0.005    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
        1    0.000    0.000    0.005    0.005 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\categorical.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\sparse\__init__.py:1(<module>)
       50    0.000    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\cookies.py:140(get_cookie_header)
       49    0.000    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
      400    0.002    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\message.py:462(get)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\indexes\datetimelike.py:1(<module>)
    14139    0.004    0.000    0.004    0.000 {method 'upper' of 'str' objects}
      331    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:156(__enter__)
      300    0.002    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:1241(putheader)
       49    0.001    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\numpy\core\arrayprint.py:452(_get_format_function)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\indexes\interval.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\window\rolling.py:1(<module>)
       18    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:944(parse)
       50    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2654(getproxies_registry)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pytz\__init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\groupby\groupby.py:1(<module>)
   165/49    0.002    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\numpy\core\arrayprint.py:789(recurser)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\groupby\ops.py:1(<module>)
       50    0.001    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\response.py:539(__init__)
    55/18    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:436(_parse_sub)
      270    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\io\excel\_base.py:1452(ExcelFile)
      150    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\message.py:588(get_content_maintype)
    84/78    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\typing.py:352(__getitem__)
     1541    0.001    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\abc.py:117(__instancecheck__)
        2    0.000    0.000    0.004    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2401(eval)
    506/2    0.001    0.000    0.004    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2379(train)
      200    0.001    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1258(__init__)
       78    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\typing.py:434(Union)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\interval.py:1(<module>)
      776    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
    88/31    0.001    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:494(_parse)
     5475    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
       50    0.000    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connectionpool.py:259(_get_conn)
      100    0.001    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1677(extract_cookies)
      361    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
     3197    0.001    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2278(children)
      776    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\computation\engines.py:1(<module>)
        7    0.000    0.000    0.004    0.001 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\Line.py:25(get_linear_values)
        1    0.000    0.000    0.004    0.004 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\io\formats\format.py:1(<module>)
      150    0.004    0.000    0.004    0.000 {built-in method winreg.QueryValueEx}
       50    0.000    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:184(close)
       57    0.004    0.000    0.004    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
       50    0.000    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:285(putrequest)
       32    0.000    0.000    0.004    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\plotting.py:103(box_label)
      400    0.001    0.000    0.004    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:159(hostname)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\plotting\__init__.py:1(<module>)
       25    0.003    0.000    0.003    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\series.py:245(Series)
     2812    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFED68D4C60}
      331    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
       25    0.003    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\ops.py:360(xywh2xyxy)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\zoneinfo\__init__.py:1(<module>)
     1254    0.003    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:114(_coerce_args)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\util\version\__init__.py:9(<module>)
        6    0.001    0.000    0.003    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\numpy\lib\polynomial.py:453(polyfit)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\sparse\accessor.py:1(<module>)
     5121    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       25    0.003    0.000    0.003    0.000 {copyMakeBorder}
      200    0.001    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\util\url.py:326(<listcomp>)
       50    0.000    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connectionpool.py:82(__init__)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\internals\array_manager.py:1(<module>)
      100    0.002    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\PIL\JpegImagePlugin.py:250(DQT)
       50    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:1085(putrequest)
      125    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\ntpath.py:289(expanduser)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\arrays\base.py:1(<module>)
     1400    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
       41    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
       25    0.000    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torchvision\ops\boxes.py:13(nms)
      900    0.002    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\_collections.py:259(__getitem__)
       18    0.002    0.000    0.003    0.000 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\DirectionalPIDController.py:185(fuzzy_control_step)
      626    0.003    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
     1100    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
       50    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:250(__init__)
      626    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
    271/1    0.001    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2485(__repr__)
 5043/903    0.003    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2335(named_modules)
      143    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\typing.py:739(__init__)
      550    0.001    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:311(header_fetch_parse)
    289/6    0.000    0.000    0.003    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\strings\accessor.py:1(<module>)
       25    0.003    0.000    0.003    0.000 {method 'amax' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\encodings\__init__.py:70(search_function)
      361    0.001    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\_tensor.py:241(_typed_storage)
        1    0.000    0.000    0.003    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\strings\accessor.py:156(StringMethods)
       50    0.000    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\utils.py:898(default_headers)
       78    0.000    0.000    0.003    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\abc.py:105(__new__)
      100    0.001    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\adapters.py:173(init_poolmanager)
      540    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       50    0.001    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connectionpool.py:239(_new_conn)
       50    0.000    0.000    0.003    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:456(__exit__)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\callbacks\base.py:189(add_integration_callbacks)
      800    0.002    0.000    0.002    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\util\url.py:332(_idna_encode)
      620    0.000    0.000    0.002    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:2308(modules)
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\internals\api.py:1(<module>)
       18    0.000    0.000    0.002    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:622(_code)
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\compat\_constants.py:1(<module>)
       50    0.000    0.000    0.002    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:796(close)
      100    0.001    0.000    0.002    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1596(make_cookies)
     1541    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       50    0.000    0.000    0.002    0.000 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:725(<listcomp>)
      445    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
     9956    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\util\version\__init__.py:337(Version)
       50    0.002    0.000    0.002    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:302(makefile)
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\io\common.py:1(<module>)
      300    0.001    0.000    0.002    0.000 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1223(deepvalues)
        1    0.000    0.000    0.002    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\pandas\core\dtypes\cast.py:1(<module>)
      361    0.002    0.000    0.002    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
